,Address Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
69,Commercial,"601 FITZHUGH DR, Traverse City, Michigan, USA","601 Fitzhugh Dr, Traverse City, MI 49684, USA",1,1331,30568,6000,6.3,440.0
70,Commercial,"401 S GARFIELD AVE, Traverse City, Michigan, USA","415 S Garfield Ave, Traverse City, MI 49686, USA",0,1241,546,2000,7.8,546.0
71,Commercial,"1760 FOREST RIDGE DR, Traverse City, Michigan, USA","1760 Forest Ridge Dr, Traverse City, MI 49686, USA",1,1309,4140,5000,6.5,458.0
72,Commercial,"606 STATION ST, Traverse City, Michigan, USA","510 Depot View Dr, Traverse City, MI 49686, USA",0,1430,1075,5000,6.3,440.0
73,Commercial,"1125 WEST CIVIC CENTER DR, Traverse City, Michigan, USA","1125 W Civic Center Dr, Traverse City, MI 49686, USA",1,1272,6695,5000,6.5,458.0
74,Commercial,"913 BARLOW ST, Traverse City, Michigan, USA","913 Barlow St, Traverse City, MI 49686, USA",1,1391,4581,6000,6.3,440.0
75,Commercial,"531 S UNION ST, Traverse City, Michigan, USA","531 S Union St, Traverse City, MI 49684, USA",1,1417,1198,6000,6.0,423.0
76,Commercial,"0 W S AIRPORT RD, Traverse City, Michigan, USA",Not Found,,,,,,
77,Commercial,"1401 WOODMERE AVE, Traverse City, Michigan, USA","1401 Woodmere Ave, Traverse City, MI 49686, USA",1,1370,5814,6000,6.0,423.0
78,Commercial,"1645 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1567 W South Airport Rd, Traverse City, MI 49686, USA",0,1385,5039,6000,6.0,423.0
79,Commercial,"100 PARK ST, Traverse City, Michigan, USA","300 E Front St, Traverse City, MI 49684, USA",0,1425,6307,6000,6.0,423.0
80,Commercial,"1131 S GARFIELD AVE, Traverse City, Michigan, USA","1115 S Garfield Ave, Traverse City, MI 49684, USA",0,1444,29493,7000,5.8,405.0
81,Commercial,"0 SIXTH & UNION, Traverse City, Michigan, USA","620 Sixth St, Traverse City, MI 49684, USA",0,1400,758,5000,6.8,476.0
82,Commercial,"619 E EIGHTH ST, Traverse City, Michigan, USA","619 E Eighth St, Traverse City, MI 49686, USA",1,1255,740,3000,7.5,529.0
83,Commercial,"2244 CASS RD, Traverse City, Michigan, USA","2244 Cass Rd, Traverse City, MI 49684, USA",1,1347,3312,6000,6.3,440.0
84,Commercial,"315 N DIVISION ST, Traverse City, Michigan, USA","315t N Division St, Traverse City, MI 49684, USA",0,1431,4916,6000,5.8,405.0
85,Commercial,"1026 RED DR, Traverse City, Michigan, USA","1026 Red Dr, Traverse City, MI 49684, USA",1,1412,2149,5000,6.5,458.0
86,Commercial,"140 RIVERS EDGE DR, Traverse City, Michigan, USA","141 Rivers Edge Dr #200, Traverse City, MI 49684, USA",0,1402,5885,6000,6.0,423.0
87,Commercial,"10753 PINE BLUFF DR, Traverse City, Michigan, USA","10753 Pine Bluff Dr, Traverse City, MI 49684, USA",1,1375,2326,5000,6.5,458.0
88,Commercial,"535 W FRONT ST, Traverse City, Michigan, USA","535 W Front St, Traverse City, MI 49684, USA",1,1311,1621,5000,6.3,440.0
89,Commercial,"720 FITZHUGH DR, Traverse City, Michigan, USA",Not Found,,,,,,
90,Commercial,"6619 MISSION RIDGE, Traverse City, Michigan, USA","6619 Mission Ridge, Traverse City, MI 49686, USA",1,1159,2731,3000,7.3,511.0
91,Commercial,"225 GARLAND ST, Traverse City, Michigan, USA","207 W Grandview Pkwy, Traverse City, MI 49684, USA",0,1324,5655,6000,6.3,440.0
92,Commercial,"144 HALL ST, Traverse City, Michigan, USA","144 Hall St Suite# 109, Traverse City, MI 49684, USA",1,1321,16755,6000,6.3,440.0
93,Commercial,"3139 N KEYSTONE RD, Traverse City, Michigan, USA","3139 N Keystone Rd, Traverse City, MI 49686, USA",1,1335,7717,6000,6.3,440.0
94,Commercial,"715 E STATE ST STE, Traverse City, Michigan, USA","715 E State St, Traverse City, MI 49686, USA",1,1417,3013,6000,6.0,423.0
95,Commercial,"2000 RANDOLPH ST, Traverse City, Michigan, USA",Not Found,,,,,,
96,Commercial,"853 E FRONT ST, Traverse City, Michigan, USA","853 E Front St, Traverse City, MI 49686, USA",1,1305,881,4000,7.0,493.0
97,Commercial,"441 E FRONT ST, Traverse City, Michigan, USA","441 E Front St, Traverse City, MI 49686, USA",1,1422,3647,6000,5.8,405.0
98,Commercial,"800 WESTMINSTER RD, Traverse City, Michigan, USA",Not Found,,,,,,
99,Commercial,"124 MUNSON AVE, Traverse City, Michigan, USA","118 Munson Ave ste b, Traverse City, MI 49686, USA",0,1262,652,4000,6.8,476.0
100,Commercial,"0 E F HUTTON PARKING LOT, Traverse City, Michigan, USA",Not Found,,,,,,
101,Commercial,"1265 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
102,Commercial,"107 CASS ST, Traverse City, Michigan, USA","107 Cass St ste d, Traverse City, MI 49684, USA",1,1348,12157,6000,6.0,423.0
103,Commercial,"440 W FRONT ST, Traverse City, Michigan, USA","440 W Front St, Traverse City, MI 49684, USA",1,1308,3154,5000,6.3,440.0
104,Commercial,"322 S UNION ST, Traverse City, Michigan, USA","322 S Union St, Traverse City, MI 49684, USA",1,1400,6378,6000,6.0,423.0
105,Commercial,"113 E STATE ST, Traverse City, Michigan, USA","113 E State St, Traverse City, MI 49684, USA",1,1268,1251,5000,6.8,476.0
106,Commercial,"807 LAKE AVE, Traverse City, Michigan, USA","807 Lake Ave, Traverse City, MI 49684, USA",1,1299,3312,5000,6.3,440.0
107,Commercial,"1239 WOODMERE AVE, Traverse City, Michigan, USA","1235 Woodmere Ave, Traverse City, MI 49686, USA",0,1328,5620,6000,6.3,440.0
108,Commercial,"1200 W ELEVENTH ST MECH, Traverse City, Michigan, USA","1200 W Eleventh St, Traverse City, MI 49684, USA",1,1399,63197,6000,5.8,405.0
109,Commercial,"525 W FOURTEENTH ST, Traverse City, Michigan, USA","525 W Fourteenth St Suite D, Traverse City, MI 49684, USA",1,1300,2590,5000,6.5,458.0
110,Commercial,"104 E FRONT ST, Traverse City, Michigan, USA","102 E Front St, Traverse City, MI 49684, USA",0,1393,3841,6000,6.0,423.0
111,Commercial,"13818 S WEST BAY SHORE DR, Traverse City, Michigan, USA","13818 S W Bay Shore Dr, Traverse City, MI 49684, USA",1,1431,2572,6000,5.8,405.0
112,Commercial,"921 W ELEVENTH ST, Traverse City, Michigan, USA","921 W Eleventh St, Traverse City, MI 49684, USA",1,1429,2220,6000,5.8,405.0
113,Commercial,"202 BOARDMAN AVE, Traverse City, Michigan, USA","402 E State St, Traverse City, MI 49686, USA",0,1213,899,3000,7.8,546.0
114,Commercial,"934 S GARFIELD AVE, Traverse City, Michigan, USA","928 S Garfield Ave, Traverse City, MI 49686, USA",0,1276,3735,4000,7.3,511.0
115,Commercial,"600 E FRONT ST, Traverse City, Michigan, USA","600 E Front St, Traverse City, MI 49686, USA",1,1336,33404,6000,5.8,405.0
116,Commercial,"548 E FRONT ST, Traverse City, Michigan, USA","548 E Front St, Traverse City, MI 49686, USA",1,1303,2061,5000,6.3,440.0
117,Commercial,"1161 HASTINGS ST, Traverse City, Michigan, USA","1161 Hastings St, Traverse City, MI 49686, USA",1,1285,423,1000,6.0,423.0
118,Commercial,"333 W GRANDVIEW PKWY, Traverse City, Michigan, USA","333 W Grandview Pkwy, Traverse City, MI 49684, USA",1,1329,11822,6000,6.3,440.0
119,Commercial,"750 MUNSON AVE, Traverse City, Michigan, USA","752 Munson Ave, Traverse City, MI 49686, USA",0,1352,2202,6000,6.3,440.0
120,Commercial,"1659 S GARFIELD AVE, Traverse City, Michigan, USA","1661 S Garfield Ave, Traverse City, MI 49686, USA",0,1372,36540,7000,5.8,405.0
121,Commercial,"630 S GARFIELD AVE, Traverse City, Michigan, USA",Not Found,,,,,,
122,Commercial,"1027 E EIGHTH ST, Traverse City, Michigan, USA","1023 E Eighth St, Traverse City, MI 49686, USA",0,1316,6025,5000,6.3,440.0
123,Commercial,"619 E EIGHTH ST, Traverse City, Michigan, USA","619 E Eighth St, Traverse City, MI 49686, USA",1,1255,740,3000,7.5,529.0
124,Commercial,"1832 OAK HOLLOW DR, Traverse City, Michigan, USA","1844 Oak Hollow Dr, Traverse City, MI 49686, USA",0,1367,3259,6000,6.0,423.0
125,Commercial,"0 UNION ST & PARKWAY, Traverse City, Michigan, USA","828 S Union St, Traverse City, MI 49684, USA",0,1418,634,3000,7.8,546.0
126,Commercial,"3130 LOGAN VALLEY RD, Traverse City, Michigan, USA","3130 Logan Valley Rd, Traverse City, MI 49686, USA",1,1438,2837,6000,5.8,405.0
127,Commercial,"3950 SCENIC RIDGE, Traverse City, Michigan, USA","3950 Scenic Ridge, Traverse City, MI 49684, USA",1,1448,758,5000,6.5,458.0
128,Commercial,"1142 E EIGHTH ST, Traverse City, Michigan, USA","1142 E Eighth St #104, Traverse City, MI 49686, USA",1,1321,2978,5000,6.3,440.0
129,Commercial,"440 MUNSON AVE, Traverse City, Michigan, USA","460 Munson Ave US HWY 31, Traverse City, MI 49686, USA",0,1411,14429,6000,5.8,405.0
130,Commercial,"216 CASS ST, Traverse City, Michigan, USA","216 Cass St, Traverse City, MI 49684, USA",1,1318,1674,5000,6.3,440.0
131,Commercial,"920 HASTINGS ST STE, Traverse City, Michigan, USA","920 Hastings St STE D, Traverse City, MI 49686, USA",1,1307,13707,5000,6.3,440.0
132,Commercial,"223 E FRONT ST, Traverse City, Michigan, USA","223 E Front St, Traverse City, MI 49684, USA",1,1265,2044,5000,6.8,476.0
133,Commercial,"148 E FRONT ST, Traverse City, Michigan, USA","148 E Front St, Traverse City, MI 49684, USA",1,1335,4246,6000,6.3,440.0
134,Commercial,"927 WOODMERE AVE, Traverse City, Michigan, USA","927 Woodmere Ave, Traverse City, MI 49686, USA",1,1282,4440,5000,6.8,476.0
135,Commercial,"2936 GLEN DR, Traverse City, Michigan, USA","2936 Glen Dr, Traverse City, MI 49686, USA",1,1378,1480,6000,6.3,440.0
136,Commercial,"429 MUNSON PL, Traverse City, Michigan, USA",Not Found,,,,,,
137,Commercial,"436 W FRONT ST, Traverse City, Michigan, USA","436 W Front St, Traverse City, MI 49684, USA",1,1316,6924,6000,6.3,440.0
138,Commercial,"157 E FRONT ST, Traverse City, Michigan, USA","153 1/2 E Front St Suite C, Traverse City, MI 49684, USA",0,1374,1815,5000,6.3,440.0
139,Commercial,"135 MUNSON AVE, Traverse City, Michigan, USA","125 Munson Ave, Traverse City, MI 49686, USA",0,1311,4616,5000,6.3,440.0
140,Commercial,"134 E FRONT ST, Traverse City, Michigan, USA","134 E Front St Lower Unit, Traverse City, MI 49684, USA",1,1334,1321,6000,6.3,440.0
141,Commercial,"108 S UNION ST, Traverse City, Michigan, USA","104 S Union St #201, Traverse City, MI 49684, USA",0,1325,4986,6000,6.3,440.0
142,Commercial,"804 S GARFIELD AVE, Traverse City, Michigan, USA","804 S Garfield Ave Suite A, Traverse City, MI 49686, USA",1,1212,3347,4000,7.0,493.0
143,Commercial,"920 HASTINGS ST STE, Traverse City, Michigan, USA","920 Hastings St STE D, Traverse City, MI 49686, USA",1,1307,13707,5000,6.3,440.0
144,Commercial,"1214 S GARFIELD AVE, Traverse City, Michigan, USA","1208 S Garfield Ave, Traverse City, MI 49686, USA",0,1314,11963,5000,6.3,440.0
145,Commercial,"461 MUNSON AVE, Traverse City, Michigan, USA","461 Munson Ave, Traverse City, MI 49686, USA",1,1446,15469,7000,5.8,405.0
146,Commercial,"1466 NEWPORT ST, Traverse City, Michigan, USA","1466 Newport St, Traverse City, MI 49686, USA",1,1264,652,4000,7.0,493.0
147,Commercial,"1580 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1580 W South Airport Rd, Traverse City, MI 49686, USA",1,1324,2696,6000,6.3,440.0
148,Commercial,"818 RED DR STE, Traverse City, Michigan, USA","818 Red Dr, Traverse City, MI 49684, USA",1,1296,2660,5000,6.5,458.0
149,Commercial,"697 HANNAH AVE, Traverse City, Michigan, USA","697 Hannah Ave, Traverse City, MI 49686, USA",1,1432,2907,6000,5.8,405.0
150,Commercial,"109 E FRONT ST, Traverse City, Michigan, USA","107 E Front St, Traverse City, MI 49684, USA",0,1324,14007,6000,6.3,440.0
151,Commercial,"2465 N AERO PARK CT OFFIC, Traverse City, Michigan, USA","2465 N Aero-Park Ct, Traverse City, MI 49686, USA",1,1271,5708,5000,6.5,458.0
152,Commercial,"1500 BARLOW ST, Traverse City, Michigan, USA","1485 Barlow St, Traverse City, MI 49686, USA",0,1321,846,4000,7.0,493.0
153,Commercial,"120 E FRONT ST, Traverse City, Michigan, USA","120 E Front St Loft 2, Traverse City, MI 49684, USA",1,1321,1868,6000,6.3,440.0
154,Commercial,"210 E FRONT ST, Traverse City, Michigan, USA","210 E Front St, Traverse City, MI 49684, USA",1,1327,3365,5000,6.3,440.0
155,Commercial,"327 W FOURTEENTH ST, Traverse City, Michigan, USA",Not Found,,,,,,
156,Commercial,"610 WOODMERE AVE, Traverse City, Michigan, USA","610 Woodmere Ave, Traverse City, MI 49686, USA",1,1417,23115,6000,5.8,405.0
157,Commercial,"400 W FRONT ST, Traverse City, Michigan, USA","400 W Front St #206, Traverse City, MI 49684, USA",1,1435,6572,6000,6.0,423.0
158,Commercial,"120 E FRONT ST, Traverse City, Michigan, USA","120 E Front St Loft 2, Traverse City, MI 49684, USA",1,1321,1868,6000,6.3,440.0
159,Commercial,"721 INDIAN TRAIL BLVD, Traverse City, Michigan, USA","721 Indian Trail Blvd, Traverse City, MI 49686, USA",1,1194,3242,4000,7.3,511.0
160,Commercial,"955 E EIGHTH ST, Traverse City, Michigan, USA","955 E Eighth St A, Traverse City, MI 49686, USA",1,1280,2625,5000,6.5,458.0
161,Commercial,"1128 S GARFIELD AVE, Traverse City, Michigan, USA","1128 S Garfield Ave, Traverse City, MI 49686, USA",1,1311,3911,5000,6.3,440.0
162,Commercial,"1023 S DIVISION ST, Traverse City, Michigan, USA","1023 S Division St, Traverse City, MI 49684, USA",1,1428,9866,6000,5.8,405.0
163,Commercial,"1003 E FRONT ST, Traverse City, Michigan, USA","995 E Front St, Traverse City, MI 49686, USA",0,1161,300,200,4.3,300.0
164,Commercial,"346 E FRONT ST, Traverse City, Michigan, USA","340 E Front St, Traverse City, MI 49684, USA",0,1328,3964,6000,6.3,440.0
165,Commercial,"894 MUNSON AVE, Traverse City, Michigan, USA","890 Munson Ave, Traverse City, MI 49686, USA",0,1180,1110,4000,7.3,511.0
166,Commercial,"403 E STATE ST, Traverse City, Michigan, USA","403 E State St, Traverse City, MI 49686, USA",1,1347,2625,6000,6.3,440.0
167,Commercial,"1773 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
168,Commercial,"100 HOPE ST STE, Traverse City, Michigan, USA","100 Hope St, Traverse City, MI 49686, USA",1,1414,3259,6000,6.0,423.0
169,Commercial,"940 E EIGHTH ST, Traverse City, Michigan, USA","940 E Eighth St, Traverse City, MI 49686, USA",1,1412,916,5000,6.5,458.0
170,Commercial,"1142 E EIGHTH ST, Traverse City, Michigan, USA","1142 E Eighth St #104, Traverse City, MI 49686, USA",1,1321,2978,5000,6.3,440.0
171,Commercial,"2291 TRAVERSEFIELD DR, Traverse City, Michigan, USA",Not Found,,,,,,
172,Commercial,"841 FERN ST, Traverse City, Michigan, USA","837 Fern St, Traverse City, MI 49686, USA",0,1091,1885,2000,8.3,581.0
173,Commercial,"521 COTTAGEVIEW DR, Traverse City, Michigan, USA","521 Cottageview Dr, Traverse City, MI 49684, USA",1,1395,6906,6000,6.0,423.0
174,Commercial,"207 E FRONT ST, Traverse City, Michigan, USA","207 E Front St, Traverse City, MI 49684, USA",1,1093,934,2000,8.0,564.0
175,Commercial,"1433 BARLOW ST UNIT, Traverse City, Michigan, USA","1433 Barlow St, Traverse City, MI 49686, USA",1,1433,3947,6000,5.8,405.0
176,Commercial,"140 E FRONT ST, Traverse City, Michigan, USA","140 E Front St # B, Traverse City, MI 49684, USA",1,1387,5197,6000,6.0,423.0
177,Commercial,"325 WASHINGTON ST, Traverse City, Michigan, USA","325 Washington St, Traverse City, MI 49684, USA",1,1330,828,4000,7.0,493.0
178,Commercial,"440 MUNSON AVE, Traverse City, Michigan, USA","460 Munson Ave US HWY 31, Traverse City, MI 49686, USA",0,1411,14429,6000,5.8,405.0
179,Commercial,"1508 NEWPORT ST HOUSE, Traverse City, Michigan, USA","1508 Newport St, Traverse City, MI 49686, USA",1,1169,934,3000,7.8,546.0
180,Commercial,"541 W FRONT ST, Traverse City, Michigan, USA","541 W Front St, Traverse City, MI 49684, USA",1,1311,810,5000,6.3,440.0
181,Commercial,"870 E FRONT ST, Traverse City, Michigan, USA","872 E Front St, Traverse City, MI 49686, USA",0,1252,2079,4000,7.0,493.0
182,Commercial,"800 COTTAGEVIEW DR STE, Traverse City, Michigan, USA","1200 W Eleventh St, Traverse City, MI 49684, USA",0,1399,63197,6000,5.8,405.0
183,Commercial,"315 N DIVISION ST, Traverse City, Michigan, USA","315t N Division St, Traverse City, MI 49684, USA",0,1431,4916,6000,5.8,405.0
184,Commercial,"145 E FRONT ST, Traverse City, Michigan, USA","145 E Front St, Traverse City, MI 49684, USA",1,1330,1903,6000,6.3,440.0
185,Commercial,"100 PARK ST, Traverse City, Michigan, USA","300 E Front St, Traverse City, MI 49684, USA",0,1425,6307,6000,6.0,423.0
