Commercial,Building Type C,Commercial Demand,Building Type CD
116 S UNION ST,Retail Strip Mall,1035 S GARFIELD AVE,Retail Strip Mall
853 E FRONT ST,Small Hotel,314 E FRONT ST,Small Office
539 S GARFIELD AVE,Outpatient,104 S UNION ST,Retail Strip Mall
2040 CASS RD,Warehouse,836 ROBINWOOD CT,Small Office
150 PINE ST,Midrise Apartment,123 S UNION ST,Retail Strip Mall
660 HANNAH AVE,Other ,811 S GARFIELD AVE,Small Office
868 ROBINWOOD CT,Small Office,1133 W SOUTH AIRPORT RD,Retail Standalone
647 E EIGHTH ST,Outpatient,1566 US 31 NORTH,Small Hotel
10101 EAST TRAVERSE HWY,Midrise Apartment,1840 US 31 NORTH,Small Hotel
3003 N GARFIELD RD,Retail Strip Mall,2510 AERO PARK DR,Medium Office
13766 S WEST BAY SHORE DR,Small Hotel,610 WOODMERE AVE,Medium Office
845 ROBINWOOD CT,Small Office,141 RIVERS EDGE DR,Medium Office
223 E STATE ST,Retail Strip Mall,781 FITZHUGH DR,Midrise Apartment
1100 WOODMERE AVE,Warehouse,517 WELLINGTON ST,Medium Office
1669 S GARFIELD AVE,Warehouse,1456 BRIGADOON CT,Retirement Community
511 1/2 E EIGHTH ST,Retail Standalone,3501 MARKETPLACE CR,Full Service Restaurant
10497 W M 72,Other ,2762 CASS RD,Warehouse
504 BARLOW ST,Residential Home,2625 N US 31 SOUTH,Retail Standalone
201 S GARFIELD AVE,Outpatient,305 W FRONT ST 1ST,Full Service Restaurant
853 E FRONT ST,Small Hotel,231 E EIGHTH ST,Retail Standalone
1235 WOODMERE AVE,Other ,3955 N US 31 SOUTH,Supermarket
,,140 RIVERS EDGE DR,Medium Office
,,13900 S WEST BAY SHORE DR,Medium Office
