Commercial,Commercial Demand
124 BEECH ST,161 E FRONT ST
537 BAY ST,1941 US 31 NORTH
801 WOODMERE AVE,509 W FRONT ST
6004 CENTER RD,144 HALL ST
300 E FRONT ST,1083 W SOUTH AIRPORT RD
0 EIGHTH & MUNSON AVE,1209 S GARFIELD AVE
717 WOODMERE AVE,125 PARK ST
151 E FRONT ST,1249 WOODMERE AVE
812 W FRONT ST,2464 CASS RD
928 E FRONT ST,1779 S GARFIELD AVE
140 E FRONT ST,115 E FRONT ST
3134 LOGAN VALLEY RD,1702 BARLOW ST
545 RIVERINE DR,806 RED DR STE
2314 SYBRANDT RD,121 RIVERS EDGE DR
2296 CASS RD,305 W FRONT ST 1ST
128 S UNION ST PANEL,2351 CASS RD
630 S GARFIELD AVE,1600 EASTERN AVE
807 LAKE AVE,1227 E FRONT ST
332 E FRONT ST,250 E FRONT ST
313 E FRONT ST,2600 MILLER CREEK DR
1128 E EIGHTH ST,125 PARK ST
1043 W SOUTH AIRPORT RD,1661 PARK DR
1525 CASS ST,400 E EIGHTH ST MAIN
305 W FRONT ST 2ND,2575 AERO PARK DR
516 SHERIDAN RD,2676 CASS RD
530 S UNION ST,727 W FRONT ST
3950 SCENIC RIDGE,1010 E FRONT ST
104 E GRANDVIEW PKWY CFEST,205 LAKE AVE
2670 AERO PARK DR,1197 W SOUTH AIRPORT RD
225 E FOURTEENTH ST,160 E FRONT ST
911 LYNCH DR,1221 E FRONT ST
510 DEPOT VIEW DR,301 SEVENTH ST
517 W FRONT ST,1110 E EIGHTH ST
1026 HANNAH AVE,1116 E EIGHTH ST
104 S UNION ST,2550 AERO PARK DR
876 E EIGHTH ST,158 E FRONT ST
191 MARINA DR DCFC,504 MUNSON AVE
921 W SOUTH AIRPORT RD,3975 N THREE MILE RD
1606 BARLOW ST,3300 N US 31 SOUTH
1401 US 31 NORTH,525 COTTAGE ARBOR LN
830 COTTAGEVIEW DR STE,DAVID
1373 BARLOW ST,707 PARSONS RD
525 GEORGETOWN DR,3950 SCENIC RIDGE
940 E EIGHTH ST,706 W FRONT ST
1606 BARLOW ST,460 MUNSON AVE
3287 RACQUET CLUB DR,415 S ELMWOOD AVE
1489 US 31 NORTH,1015 RED DR
233 E TWELFTH ST,229 LAKE AVE
126 BOARDMAN AVE,424 E FRONT ST
720 S GARFIELD AVE,1686 S GARFIELD AVE
1515 CASS ST,1241 E EIGHTH ST
3141 LOGAN VALLEY RD,3680 CASS RD
1125 WEST CIVIC CENTER DR,728 MUNSON AVE
237 LAKE AVE STE,901 E FRONT ST
537 BAY ST,1001 W ELEVENTH ST
431 MUNSON AVE,807 AIRPORT ACCESS RD
748 E STATE ST,1323 W SOUTH AIRPORT RD
148 E FRONT ST,135 E STATE ST
3643 W FRONT ST,120 W FRONT ST
2823 CASS RD,2155 TRAVERSEFIELD DR
843 S GARFIELD AVE,440 E FRONT ST
0 MUNSON AVE & N THREE MILE,3950 SCENIC RIDGE
803 W FRONT ST,333 W GRANDVIEW PKWY STE
1129 E EIGHTH ST,800 S GARFIELD AVE
309 CASS ST,1104 E FRONT ST
845 S GARFIELD AVE,1532 US 31 NORTH
736 E EIGHTH ST,2699 CASS RD
12868 S WEST BAY SHORE DR,720 S ELMWOOD AVE
534 E FRONT ST,2397 TRAVERSEFIELD DR
116 S UNION ST,3536 N US 31 SOUTH
853 E FRONT ST,1492 US 31 NORTH
539 S GARFIELD AVE,501 E EIGHTH ST
2040 CASS RD,141 RIVERS EDGE DR
150 PINE ST,1150 MILLIKEN DR
660 HANNAH AVE,524 W FOURTEENTH ST
868 ROBINWOOD CT,521 RANDOLPH ST
647 E EIGHTH ST,511 S GARFIELD AVE
10101 EAST TRAVERSE HWY,2360 W SOUTH AIRPORT RD
3003 N GARFIELD RD,950 WOODMERE AVE
13766 S WEST BAY SHORE DR,2751 N US 31 SOUTH
845 ROBINWOOD CT,800 HASTINGS ST
223 E STATE ST,2801 N US 31 SOUTH
1100 WOODMERE AVE,924 HASTINGS ST
1669 S GARFIELD AVE,101 N PARK ST
511 1/2 E EIGHTH ST,144 W SOUTH AIRPORT RD
10497 W M 72,1371 W SOUTH AIRPORT RD
504 BARLOW ST,415 MUNSON AVE
201 S GARFIELD AVE,218 W FOURTEENTH ST
853 E FRONT ST,625 WOODMERE AVE
1235 WOODMERE AVE,144 W SOUTH AIRPORT RD
13031 S FISHERMAN COVE,129 E FRONT ST
431 MUNSON AVE,734 MUNSON AVE SUITE
3183 LOGAN VALLEY RD,315 E FRONT ST
853 E FRONT ST,3055 CASS RD
1011 E EIGHTH ST,160 E FRONT ST
894 MUNSON AVE,2470 N AERO PARK CT
13740 S WEST BAY SHORE DR,1201 S GARFIELD AVE
1057 W SOUTH AIRPORT RD,2314 SYBRANDT RD
1844 OAK HOLLOW DR,1501 CASS ST
704 BAY HILL DR,1331 S GARFIELD AVE
502 E FRONT ST,735 S GARFIELD AVE
828 CENTRE ST,440 W FRONT ST
726 HASTINGS ST,845 E SOUTH AIRPORT RD
808 S GARFIELD AVE,3375 WRIGHT DR
707 S GARFIELD AVE STE,1230 WOODMERE AVE
1012 SIXTH ST,1396 W SOUTH AIRPORT RD
140 E FRONT ST,701 W FRONT ST
1026 RED DR,2577 N US 31 SOUTH
1126 BARLOW ST,317 E FRONT ST
2944 GLEN DR,241 E STATE ST
1239 US 31 NORTH,1795 BARLOW ST
1832 OAK HOLLOW DR,201 E SEVENTEENTH ST
966 W SOUTH AIRPORT RD,844 E FRONT ST
750 W ELEVENTH ST,3950 SCENIC RIDGE
695 PARSONS RD,1115 S GARFIELD AVE
115 FRANKLIN ST,141 RIVERS EDGE DR
440 MUNSON AVE,472 MUNSON AVE
874 E FRONT ST,3675 MARKETPLACE CR
429 W FOURTEENTH ST,795 LYNCH DR
534 E EIGHTH ST,1881 COLLEGE DR
346 E FRONT ST,144 W SOUTH AIRPORT RD
140 E FRONT ST,3587 MARKETPLACE CR
0 AIRPORT ACCESS RD & PARSO,905 E EIGHTH ST
876 E FRONT ST,1122 E EIGHTH ST
800 COTTAGEVIEW DR STE,420 E FRONT ST
1323 CASS ST,101 E FRONT ST
124 N DIVISION ST,538 W FOURTEENTH ST
1157 HASTINGS ST,701 W FRONT ST
402 S UNION ST,1117 W SOUTH AIRPORT RD UNIT
1160 AIRPORT ACCESS RD STE,839 S GARFIELD AVE
905 HASTINGS ST,626 W FRONT ST
839 S GARFIELD AVE,827 S UNION ST
1073 W SOUTH AIRPORT RD,1319 W SOUTH AIRPORT RD
124 N MAPLE ST,111 E GRANDVIEW PKWY
2296 CASS RD,1139 E FRONT ST
112 E FRONT ST STE,1011 LAKE RIDGE DR
430 FAIR ST,1100 S GARFIELD AVE
210 N UNION ST,520 E FRONT ST
1515 CASS ST,731 FITZHUGH DR
0 7TH/UNION HOLIDAY LIGHTS,1145 HASTINGS ST
817 BAY ST,115 HALL ST
405 S UNION ST,1576 PREMIER ST
3135 LOGAN VALLEY RD,1020 HASTINGS ST
939 WOODMERE AVE,2600 W SOUTH AIRPORT RD
1489 US 31 NORTH,303 E STATE ST
1171 HASTINGS ST,851 S GARFIELD AVE
413 E EIGHTH ST,221 E FRONT ST
1050 PINE ST,3020 CASS RD
109 E FRONT ST 306,748 MUNSON AVE STE
804 W FRONT ST,2392 CASS RD
231 E STATE ST,1421 WOODMERE AVE
415 CASS ST STE,1000 HASTINGS ST
1218 S GARFIELD AVE,734 W FRONT ST
1215 E FRONT ST,1260 BOON ST
3423 CASS RD,1247 BOON ST
1225 W FRONT ST,260 E TWELFTH ST
