Commercial,Commercial Demand
827 LYNCH DR,
912 W FRONT ST B,
1633 PARK DR,
522 S GARFIELD AVE,
106 E FRONT ST,
140 E FRONT ST,
601 BAY HILL DR,
1207 WEST CIVIC CENTER DR,
1884 COLLEGE DR,
1400 YELLOW DR,
2599 MILLER CREEK DR,
2937 GLEN DR,
435 BAY ST,
6513 MISSION RIDGE,
13999 S WEST BAY SHORE DR,
1121 BOON ST,
2000 RANDOLPH ST,
104 E FRONT ST,
216 CASS ST,
540 GEORGETOWN DR,
13088 S WEST BAY SHORE DR,
1525 S DIVISION ST,
3271 RACQUET CLUB DR,
0 M-22 AT M-72 (E. JCT),
235 E TWELFTH ST,
605 BAY HILL DR,
153 E FRONT ST,
1789 S GARFIELD AVE,
900 E FRONT ST,
2743 N US 31 SOUTH,
3189 LOGAN VALLEY RD,
320 PINE ST,
715 E FRONT ST,
921 RED DR,
1328 S UNION ST,
219 1/2 E FRONT ST,
305 W FRONT ST 1ST,
1185 W SOUTH AIRPORT RD,
1800 COLLEGE DR,
1689 PARK DR,
926 W FRONT ST,
129 E STATE ST,
825 SEVENTH ST,
1030 HASTINGS ST,
2000 RANDOLPH ST,
230 E FOURTEENTH ST,
810 COTTAGEVIEW DR,
979 LAKE RIDGE DR,
630 S GARFIELD AVE,
537 BAY ST,
616 E EIGHTH ST,
535 W FOURTEENTH ST,
1550 VETERANS DR,
232 E FRONT ST,
1285 BIRCH TREE LN,
820 RED DR PARK,
841 S GARFIELD AVE,
1017 HANNAH AVE,
425 BOARDMAN AVE,
0 GATE BY NORTHFLIGHT,
1557 PREMIER ST,
1028 HANNAH AVE,
601 S GARFIELD AVE,
1105 E FRONT ST,
1613 PARK DR,
114 E GRIFFIN ST,
514 MUNSON AVE,
1566 US 31 NORTH,
915 BARLOW ST,
2263 CASS RD,
2040 CASS RD,
109 E FRONT ST HOUSE,
924 E EIGHTH ST,
607 RANDOLPH ST,
920 S GARFIELD AVE,
869 ROBINWOOD CT,
619 E EIGHTH ST,
0 E FRONT ST & FAIR ST,
910 E EIGHTH ST,
709 PARSONS RD,
261 RED FOX RIDGE,
956 W SOUTH AIRPORT RD,
114 1/2 E FRONT ST,
733 E EIGHTH ST,
502 E FRONT ST,
324 S GARFIELD AVE,
1600 BARLOW ST,
500 S UNION ST SUITE,
1717 US 31 NORTH,
1650 BARLOW ST,
102 1/2 E FRONT ST,
120 S UNION ST,
716 BOON ST,
619 E EIGHTH ST,
1209 S GARFIELD AVE,
721 WOODMERE AVE,
716 E STATE ST,
612 AIRPORT ACCESS RD,
2314 SYBRANDT RD,
777 BOYD AVE,
1040 S GARFIELD AVE,
620 WOODMERE AVE,
2358 CASS RD,
13818 S WEST BAY SHORE DR,
333 W GRANDVIEW PKWY 1ST,
715 E STATE ST STE,
0 HALL & GARLAND,
1779 S GARFIELD AVE,
710 W FRONT ST,
3003 N GARFIELD RD,
215 E FRONT ST,
136 E FRONT ST,
520 WELLINGTON ST,
2244 CASS RD,
509 S UNION ST,
528 W FOURTEENTH ST,
1236 E EIGHTH ST,
930 S ELMWOOD AVE,
229 GARLAND ST,
1518 US 31 NORTH,
874 E FRONT ST,
110 MUNSON AVE,
1430 FOREST PARK DR,
607 RANDOLPH ST,
710 CARVER ST FIRE,
1420 TERRA RD,
812 1/2 S GARFIELD AVE,
3425 WRIGHT DR,
1331 W SOUTH AIRPORT RD,
640 HANNAH AVE,
333 W GRANDVIEW PKWY 4TH,
1800 HANNAH AVE,
1820 OAK HOLLOW DR,
0 E EIGHTH ST & GARFIELD AV,
833 S GARFIELD AVE,
445 MUNSON PL,
601 W FRONT ST,
3151 CASS RD,
439 E FRONT ST,
1501 CASS ST,
526 W FOURTEENTH ST,
523 COTTAGE ARBOR LN,
693 PARSONS RD,
973 LAKE RIDGE DR,
750 S GARFIELD AVE,
630 S GARFIELD AVE,
1472 US 31 NORTH,
3643 W FRONT ST,
124 N DIVISION ST,
1560 E FRONT ST,
100 PARK ST,
6215 RED FOX RUN,
801 E FRONT ST,
800 COTTAGEVIEW DR,
333 W GRANDVIEW PKWY 2ND,
127 E FRONT ST PANEL,
0 E EIGHTH ST & CASS ST,
107 CASS ST,
803 BAY ST,
819 THIRD ST,
630 S GARFIELD AVE,
1129 WOODMERE AVE STE,
1222 ELDER ST,
760 KINGSTON CT,
0 WEST END IRRIGATION,
313 DAVIS ST,
221 GARLAND ST,
445 E STATE ST,
4207 MITCHELL CREEK DR,
13860 S COMPASS ROSE DR WATER,
630 S GARFIELD AVE,
2928 GLEN DR,
1220 WOODMERE AVE,
527 E EIGHTH ST,
621 BAY HILL DR,
849 MANOR LN,
1208 E EIGHTH ST,
3121 N KEYSTONE RD,
121 S UNION ST,
853 E FRONT ST,
1229 BARLOW ST,
1773 US 31 NORTH,
2819 CASS RD,
1251 W SOUTH AIRPORT RD,
2925 CASS RD,
401 MUNSON AVE,
1160 AIRPORT ACCESS RD STE,
309 CASS ST STE,
619 E EIGHTH ST,
129 E FRONT ST STE,
2392 CASS RD,
1137 S GARFIELD AVE,
3287 RACQUET CLUB DR,
1832 OAK HOLLOW DR,
853 E FRONT ST,
242 E FRONT ST,
1545 S DIVISION ST,
143 E FRONT ST,
1580 W SOUTH AIRPORT RD,
2200 DENDRINOS DR,
336 E FRONT ST,
1320 W SOUTH AIRPORT RD,
925 E FRONT ST,
420 1/2 S UNION ST,
747 WOODMERE AVE,
3742 W FRONT ST,
854 CARSON ST,
0 OPEN SPACE AREA CFEST,
720 MUNSON AVE,
1151 W SOUTH AIRPORT RD,
2366 CASS RD,
0 AIRPORT WEST SIDE,
2451 W SOUTH AIRPORT RD,
224 E FRONT ST,
1032 WOODMERE AVE,
1489 US 31 NORTH,
804 S GARFIELD AVE,
708 RANDOLPH ST HOUSE,
1036 BARLOW ST,
1491 KENT ST,
693 PARSONS RD,
216 MUNSON AVE,
130 HALL ST LVL 2,
220 E FRONT ST,
2397 TRAVERSEFIELD DR,
914 E FRONT ST UNIT,
317 BIRCHWOOD AVE,
447 E FRONT ST,
1209 E EIGHTH ST,
1065 W SOUTH AIRPORT RD,
845 WOODMERE AVE,
1606 BARLOW ST,
1132 US 31 NORTH,
410 S UNION ST,
928 S GARFIELD AVE,
436 1/2 W FRONT ST,
226 E FRONT ST,
1220 WOODMERE AVE,
114 E FRONT ST,
951 LYNCH DR,
3210 RACQUET CLUB DR,
3199 LOGAN VALLEY RD,
1300 BIRCH TREE LN,
120 W STATE ST,
539 E EIGHTH ST,
3180 RACQUET CLUB DR,
232 E STATE ST,
2296 CASS RD,
841 E FRONT ST,
119 BEAUMONT PL,
802 W FRONT ST,
2762 CASS RD,
1637 PARK DR,
807 E SOUTH AIRPORT RD,
822 E FRONT ST,
1797 PARK DR,
101 N PARK ST,
697 HANNAH AVE,
401 S UNION ST,
703 ROSE ST,
139 W STATE ST,
140 E FRONT ST,
1153 HASTINGS ST,
191 MARINA DR CFEST,
527 E EIGHTH ST,
216 MUNSON AVE,
1771 PARK DR ADDT,
13818 S WEST BAY SHORE DR,
691 PARSONS RD,
420 S UNION ST,
224 E STATE ST,
600 BAY HILL DR,
855 E FRONT ST,
208 W GRANDVIEW PKWY,
514 E FRONT ST,
1105 E FRONT ST,
921 W ELEVENTH ST,
1385 YELLOW DR,
824 W FRONT ST,
3139 N KEYSTONE RD,
502 E FRONT ST,
3283 RACQUET CLUB DR,
2674 CASS RD,
805 W FRONT ST,
2314 SYBRANDT RD,
2358 CASS RD,
319 E FRONT ST,
1117 W SOUTH AIRPORT RD UNIT,
122 S UNION ST,
800 COTTAGEVIEW DR STE,
3955 N US 31 SOUTH,
431 MUNSON AVE,
10850 EAST TRAVERSE HWY CELL,
305 W FRONT ST 1ST,
1161 HASTINGS ST,
418 S UNION ST,
3963 N THREE MILE RD,
116 E FRONT ST,
940 E EIGHTH ST,
421 SECOND ST BASE,
226 E SIXTEENTH ST,
500 S UNION ST SUITE,
2827 CASS RD,
4207 MITCHELL CREEK DR,
800 COTTAGEVIEW DR STE,
107 E STATE ST,
917 BARLOW ST,
545 S GARFIELD AVE,
1650 BARLOW ST,
1213 WEST CIVIC CENTER DR,
1186 AIRPORT ACCESS RD,
0 AIRPORT HANGER LOT,
2904 GLEN DR,
330 E FRONT ST,
747 E EIGHTH ST,
941 HASTINGS ST,
442 SEVENTH ST,
1605 US 31 NORTH,
400 CASS ST,
227 FAIR ST,
1129 WOODMERE AVE STE,
1767 PARK DR,
1338 BIRCH TREE LN,
830 COTTAGEVIEW DR STE,
219 E FRONT ST,
200 WASHINGTON ST,
104 MACKEY DR,
2415 DIAMOND DR,
876 ROBINWOOD CT,
659 BAY HILL DR,
620 WOODMERE AVE,
718 MUNSON AVE,
2151 CASS RD,
728 HASTINGS ST UNIT,
934 HASTINGS ST,
1440 FOREST PARK DR,
346 E FRONT ST,
1517 WOODMERE AVE,
537 S GARFIELD AVE,
720 FITZHUGH DR,
415 E FRONT ST #HPA,
210 E FRONT ST,
6475 CENTER RD,
203 E FRONT ST,
630 S GARFIELD AVE,
3180 RACQUET CLUB DR,
215 WASHINGTON ST,
1137 WOODMERE AVE,
232 1/2 E FRONT ST,
225 E SIXTEENTH ST STE,
695 PARSONS RD,
802 S GARFIELD AVE,
550 GEORGETOWN DR,
901 W FRONT ST,
2259 TRAVERSEFIELD DR,
223 E STATE ST,
692 HANNAH AVE STE,
619 E EIGHTH ST,
205 E FRONT ST,
107 CASS ST,
645 BAY HILL DR,
2883 AERO PARK DR,
203 E FRONT ST,
800 COTTAGEVIEW DR,
1129 WOODMERE AVE,
240 WASHINGTON ST,
1689 PARK DR,
2811 CASS RD,
720 CENTRE PL,
0 KEYSTONE DR & PARK DR,
429 W FIFTEENTH ST,
0 FRONT & OAK ST,
830 E FRONT ST,
333 W GRANDVIEW PKWY STE,
3287 RACQUET CLUB DR,
1211 E FRONT ST,
440 MUNSON AVE,
3116 LOGAN VALLEY RD,
728 HASTINGS ST UNIT,
920 S GARFIELD AVE,
536 WOODMERE AVE,
1129 WOODMERE AVE STE,
853 E FRONT ST,
221 GARLAND ST STE,
402 W NINTH ST,
114 1/2 E FRONT ST,
3041 N GARFIELD RD,
346 E FRONT ST,
905 1/2 WOODMERE AVE,
620 W NINTH ST,
118 CASS ST,
217 E FRONT ST,
1525 S DIVISION ST,
853 E FRONT ST,
915 CARVER ST,
232 1/2 E FRONT ST,
1169 HASTINGS ST,
920 HASTINGS ST,
611 E EIGHTH ST,
2000 RANDOLPH ST,
790 CENTRE PL,
1126 BARLOW ST,
319 N ELMWOOD AVE STE,
141 RIVERS EDGE DR,
525 1/2 S UNION ST,
125 PARK ST,
13872 S COMPASS ROSE DR,
1329 W SOUTH AIRPORT RD,
823 S GARFIELD AVE,
1641 BAY HILL TER,
415 MUNSON AVE,
1567 W SOUTH AIRPORT RD,
740 CENTRE PL,
720 E EIGHTH ST,
1015 S GARFIELD AVE,
718 MUNSON AVE,
601 RANDOLPH ST,
1207 WOODMERE AVE,
411 S UNION ST,
1500 RAMSDELL ST,
2749 AERO PARK DR,
216 E FRONT ST,
1440 BARLOW ST,
860 ROBINWOOD CT,
817 SEVENTH ST,
3002 N GARFIELD RD,
301 W GRANDVIEW PKWY,
2702 AERO PARK DR,
628 FERN ST,
641 RIVERINE DR,
227 E FRONT ST,
10975 BREWERY CREEK LN,
1105 E FRONT ST,
3011 N GARFIELD RD,
1427 WOODMERE AVE,
244 WASHINGTON ST,
1116 WAYNE ST,
225 E SIXTEENTH ST STE,
1941 US 31 NORTH SIGN,
693 PARSONS RD,
1511 KENT ST,
415 E FRONT ST #P1B,
430 MONROE ST,
123 E ELEVENTH ST,
731 WOODMERE AVE,
914 E FRONT ST UNIT,
1777 S GARFIELD AVE,
1109 E FRONT ST,
1650 BARLOW ST,
928 S GARFIELD AVE,
921 W FRONT ST,
1615 PARK DR,
1701 E FRONT ST,
743 WOODMERE AVE,
1717 US 31 NORTH,
402 W TWELFTH ST,
2244 CASS RD,
630 S GARFIELD AVE,
3680 CASS RD,
806 S GARFIELD AVE,
2780 CASS RD,
1495 NEWPORT ST HOUSE,
844 ROBINWOOD CT,
805 W FRONT ST,
224 E STATE ST,
433 1/2 SEVENTH ST,
0 CHERRYLAND MALL/GARFIELD AVE,
922 E FRONT ST UNIT,
2920 GLEN DR,
10507 E BREWERY CREEK LN,
0 WEST END BEACH,
1048 S GARFIELD AVE,
237 LAKE AVE STE,
401 W FRONT ST,
118 S UNION ST,
3240 RACQUET CLUB DR,
102 S UNION ST,
1240 BOON ST,
109 E FRONT ST,
548 E FRONT ST,
147 E FRONT ST,
3257 RACQUET CLUB DR,
719 WOODMERE AVE,
140 E FRONT ST,
140 E FRONT ST,
109 E FRONT ST,
820 CENTRE ST,
898 PINE GROVE AVE,
722 MUNSON AVE,
415 E FRONT ST #P3,
1207 WOODMERE AVE,
999 SIXTH ST,
1165 HASTINGS ST,
3030 N GARFIELD RD,
705 PARSONS RD,
300 W GRANDVIEW PKWY CFEST,
537 BAY ST,
500 S UNION ST SUITE,
921 W ELEVENTH ST,
1502 BARLOW ST,
0 COTTAGEVIEW/SILVER DR,
1861 E COLLEGE DR,
1566 US 31 NORTH,
741 WOODMERE AVE,
13900 S WEST BAY SHORE DR,
920 BARLOW ST,
117 1/2 S UNION ST,
710 CENTRE PL,
884 ROBINWOOD CT,
155 GARLAND ST,
1180 AIRPORT ACCESS RD,
903 1/2 WOODMERE AVE,
346 E FRONT ST,
0 CARVER ST & S GARFIELD AV,
1213 WEST CIVIC CENTER DR,
530 GEORGETOWN DR,
853 E FRONT ST,
0 MITCHELL CREEK DR,
123 E FRONT ST,
720 S GARFIELD AVE,
101 N PARK ST,
0 CASS (AMPHITHEATER),
116 E FRONT ST,
2751 N US 31 SOUTH,
919 LYNCH DR,
333 S GARFIELD AVE,
1620 BAY HILL TER,
118 CASS ST,
1742 BARLOW ST,
2000 RANDOLPH ST,
1427 WOODMERE AVE,
512 W FOURTEENTH ST,
104 S UNION ST,
1149 HASTINGS ST,
515 W FOURTEENTH ST,
751 WOODMERE AVE,
133 W STATE ST,
1201 E FRONT ST,
230 E FOURTEENTH ST,
917 THIRD ST,
403 E STATE ST,
2955 N KEYSTONE RD,
1725 S UNION ST,
1057 W SOUTH AIRPORT RD,
1014 SIXTH ST STE,
801 PARSONS RD,
13804 S WEST BAY SHORE DR,
104 E FRONT ST,
3950 SCENIC RIDGE,
800 COTTAGEVIEW DR,
0 N THREE MILE RD & PARSONS,
802 S GARFIELD AVE,
868 ROBINWOOD CT,
137 E STATE ST,
3643 W FRONT ST,
894 MUNSON AVE,
704 MUNSON AVE,
914 E FRONT ST UNIT,
707 E STATE ST,
12935 S WEST BAY SHORE DR,
1606 BARLOW ST,
731 S GARFIELD AVE,
104 S UNION ST,
232 E FRONT ST,
131 E FRONT ST,
1535 S DIVISION ST,
501 GEORGETOWN DR,
530 E EIGHTH ST,
1502 BARLOW ST,
821 ROBINWOOD CT,
1311 WOODMERE AVE,
1151 S GARFIELD AVE,
1427 NEWPORT ST,
1100 AIRPORT ACCESS RD,
619 E EIGHTH ST,
0 HANNAH AVE & WOODMERE AVE,
956 W SOUTH AIRPORT RD,
224 E FOURTEENTH ST,
1240 E EIGHTH ST,
153 E FRONT ST,
417 S UNION ST,
1135 WOODMERE AVE,
