,Rate,Building Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
531,Commercial Demand,Full Service Restaurant,"472 MUNSON AVE, Traverse City, Michigan, USA","472 Munson Ave, Traverse City, MI 49686, USA",1,1361,3207,6000,6.3,440.0
532,Commercial Demand,Retail Standalone,"3675 MARKETPLACE CR, Traverse City, Michigan, USA","3675 Marketplace Cir, Traverse City, MI 49684, USA",1,1443,16350,7000,5.8,405.0
533,Commercial Demand,Warehouse,"795 LYNCH DR, Traverse City, Michigan, USA","811 Lynch Dr, Traverse City, MI 49686, USA",0,1322,47129,6000,6.3,440.0
534,Commercial Demand,Medium Office,"1881 COLLEGE DR, Traverse City, Michigan, USA","1880 College Dr, Traverse City, MI 49686, USA",0,1237,3770,4000,7.0,493.0
535,Commercial Demand,Other ,"144 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","143 E South Airport Rd, Traverse City, MI 49686, USA",0,1151,722,2000,8.0,564.0
536,Commercial Demand,Supermarket,"3587 MARKETPLACE CR, Traverse City, Michigan, USA","3639 Marketplace Cir, Traverse City, MI 49684, USA",0,1341,19680,6000,6.3,440.0
537,Commercial Demand,Supermarket,"905 E EIGHTH ST, Traverse City, Michigan, USA","905 E Eighth St, Traverse City, MI 49686, USA",1,1410,16121,6000,5.8,405.0
538,Commercial Demand,Service ,"1122 E EIGHTH ST, Traverse City, Michigan, USA","1116 E Eighth St, Traverse City, MI 49686, USA",0,1320,10289,6000,6.3,440.0
539,Commercial Demand,Medium Office,"420 E FRONT ST, Traverse City, Michigan, USA","420 E Front St, Traverse City, MI 49686, USA",1,1373,1586,5000,6.5,458.0
540,Commercial Demand,Retail Standalone,"101 E FRONT ST, Traverse City, Michigan, USA","107 E Front St, Traverse City, MI 49684, USA",0,1324,14007,6000,6.3,440.0
541,Commercial Demand,Retail Standalone,"538 W FOURTEENTH ST, Traverse City, Michigan, USA","538 W Fourteenth St, Traverse City, MI 49684, USA",1,1322,2467,5000,6.3,440.0
542,Commercial Demand,Midrise Apartment,"701 W FRONT ST, Traverse City, Michigan, USA","701 W Front St STE 200, Traverse City, MI 49684, USA",1,1429,5567,6000,5.8,405.0
543,Commercial Demand,Retail Strip Mall,"1117 W SOUTH AIRPORT RD UNIT, Traverse City, Michigan, USA","1117 W South Airport Rd, Traverse City, MI 49686, USA",1,1397,9884,6000,6.0,423.0
544,Commercial Demand,Retail Strip Mall,"839 S GARFIELD AVE, Traverse City, Michigan, USA","839 S Garfield Ave, Traverse City, MI 49686, USA",1,1325,29317,6000,6.3,440.0
545,Commercial Demand,Retail Standalone,"626 W FRONT ST, Traverse City, Michigan, USA","626 W Front St, Traverse City, MI 49684, USA",1,1385,11470,6000,6.0,423.0
546,Commercial Demand,Retail Standalone,"827 S UNION ST, Traverse City, Michigan, USA","827 S Union St, Traverse City, MI 49684, USA",1,1417,987,6000,6.3,440.0
547,Commercial Demand,Retail Strip Mall,"1319 W SOUTH AIRPORT RD, Traverse City, Michigan, USA","1323 W South Airport Rd, Traverse City, MI 49686, USA",0,1303,14024,5000,6.5,458.0
548,Commercial Demand,Other ,"111 E GRANDVIEW PKWY, Traverse City, Michigan, USA",Not Found,,,,,,
